,vina_affinity,vina_rmsd_lb,vina_rmsd_ub,vina_rmsd_input,vina_rmsd_input_min,vina_gauss1,vina_gauss2,vina_repulsion,vina_hydrophobic,vina_hydrogen,SMILES Atom Order,name
,vina_affinity,vina_rmsd_lb,vina_rmsd_ub,vina_rmsd_input,vina_rmsd_input_min,vina_gauss1,vina_gauss2,vina_repulsion,vina_hydrophobic,vina_hydrogen,SMILES Atom Order,name
0,-2.32396,0.000,0.000,9.330009,9.330009,30.91729,489.19807,2.17672,24.96577,0.0,,"2,4 D"
1,-1.36661,11.414,12.886,8.014435,8.014435,38.22373,466.80956,3.21391,14.19962,0.0,13 11 12 10 9 3 2 1 6 5 4 8 7,"2,4 D"
2,-3.34452,9.638,12.375,8.500868,8.500868,39.29905,486.89083,0.98933,21.48535,0.0,13 11 12 10 9 3 2 1 6 5 4 8 7,"2,4 D"
3,-3.01526,4.374,5.525,11.741328,11.741328,25.70408,487.2343,0.53989,13.7047,0.0,13 11 12 10 9 3 2 1 6 5 4 8 7,"2,4 D"
4,-2.45759,1.710,2.199,9.549934,9.549934,31.0268,475.25232,1.69552,19.57856,0.00222,13 11 12 10 9 3 2 1 6 5 4 8 7,"2,4 D"
5,-2.36956,5.957,7.569,12.356981,12.356981,26.87355,489.32599,1.72488,19.57625,0.0,13 11 12 10 9 3 2 1 6 5 4 8 7,"2,4 D"
6,-2.66353,11.688,12.932,8.14209,8.14209,27.98527,476.68015,0.95814,7.80009,0.22199,13 11 12 10 9 3 2 1 6 5 4 8 7,"2,4 D"
7,-2.92281,1.865,2.243,10.037648,10.037648,19.95558,465.15637,0.4913,17.39306,0.07484,13 11 12 10 9 3 2 1 6 5 4 8 7,"2,4 D"
8,-2.23346,2.034,3.452,8.849562,8.849562,17.49123,458.05492,1.31193,19.40665,0.0,13 11 12 10 9 3 2 1 6 5 4 8 7,"2,4 D"
,vina_affinity,vina_rmsd_lb,vina_rmsd_ub,vina_rmsd_input,vina_rmsd_input_min,vina_gauss1,vina_gauss2,vina_repulsion,vina_hydrophobic,vina_hydrogen,SMILES Atom Order,name
0,-1.92727,0.000,0.000,8.004391,8.004391,47.12831,683.8067,5.36247,48.84738,0.13553,,Acetochlor
1,-1.48551,1.077,1.590,7.9682455,7.9682455,53.79419,703.96734,6.59523,54.76526,0.0,13 12 11 10 9 8 7 18 6 5 4 3 2 1 14 15 16 17,Acetochlor
2,-0.59423,1.305,2.908,8.905448,8.905448,39.9284,641.57344,5.48232,17.78386,0.0,13 12 11 10 9 8 7 18 6 5 4 3 2 1 14 15 16 17,Acetochlor
3,-0.89006,3.313,4.614,6.41122,6.41122,20.23079,549.56074,3.98557,26.87856,0.0,13 12 11 10 9 8 7 18 6 5 4 3 2 1 14 15 16 17,Acetochlor
4,-0.9513,4.139,5.807,5.8253922,5.8253922,19.25937,484.56118,3.26103,22.30602,0.0,13 12 11 10 9 8 7 18 6 5 4 3 2 1 14 15 16 17,Acetochlor
5,-1.68784,1.669,2.818,6.7904706,6.7904706,42.72544,592.79281,4.65034,43.01791,0.0,13 12 11 10 9 8 7 18 6 5 4 3 2 1 14 15 16 17,Acetochlor
6,1.97141,2.446,4.298,7.6200304,7.6200304,59.41055,650.01247,11.79597,54.09904,0.0,13 12 11 10 9 8 7 18 6 5 4 3 2 1 14 15 16 17,Acetochlor
7,-2.36678,2.622,4.793,6.485261,6.485261,27.42493,539.05129,1.72703,21.6357,0.0,13 12 11 10 9 8 7 18 6 5 4 3 2 1 14 15 16 17,Acetochlor
8,-0.35602,1.676,3.823,8.569162,8.569162,35.6304,555.98385,5.10969,17.35215,0.0,13 12 11 10 9 8 7 18 6 5 4 3 2 1 14 15 16 17,Acetochlor
