,full atom,ref2015,docking
3ekb,1467.7185754545394,1467.7185754545394,-439.429588083933
2nnb,36.79374678254788,36.79374678254788,-540.9378353092435
3ben,-728.29445803206,-728.29445803206,-585.589322307936
1yqo,-409.1103653979045,-409.1103653979045,-566.7483016288946
1p0v,-346.5581500744963,-346.5581500744963,-550.3931601424545
1p0x,-363.98184254426565,-363.98184254426565,-537.2653131655263
2x7y,-92.7602004003445,-92.7602004003445,-537.0118302637296
4dua,-282.7149516853378,-282.7149516853378,-564.8377363974611
1yqp,-383.07481193674005,-383.07481193674005,-557.1374319057663
3ekf,-75.69581282496874,-75.69581282496874,-535.693389909502
2j1m,-485.65448714164387,-485.65448714164387,-563.0366109455329
2ij4,274.4241559474911,274.4241559474911,-524.8100090304711
2j4s,-147.387737460406,-147.387737460406,-574.1079836933055
1smj,3644.8300077547474,3644.8300077547474,-318.14771682789797
3kx4,-335.01860468552127,-335.01860468552127,-564.5904697070888
4dud,-397.2969836035665,-397.2969836035665,-564.1090146750316
3psx,10.936894010119794,10.936894010119794,-497.3099814256628
3kx3,-540.6967647620744,-540.6967647620744,-582.4497660219489
4du2,22.900895461252034,22.900895461252034,-536.6343984689663
2x80,-150.5905957540906,-150.5905957540906,-535.1129025877863
3cbd,852.0392960190447,852.0392960190447,-467.36550457714554
4dub,-505.5858167769426,-505.5858167769426,-570.5111322323818
1p0w,-398.2504052314797,-398.2504052314797,-550.6622412492092
3hf2,163.38229707562613,163.38229707562613,-507.6870540185222
4dtw,-231.88473019080604,-231.88473019080604,-555.7799871202578
3m4v,-304.6772125781447,-304.6772125781447,-561.9379646534499
2ij2,-909.5933398948634,-909.5933398948634,-593.2355693109863
4dqk,-32.66225236883444,-32.66225236883444,-429.2622180995924
3wsp,-345.6894310626733,-345.6894310626733,-558.9529588307545
4dty,-617.9280199859405,-617.9280199859405,-577.3305961013931
3dgi,-242.92447604343528,-242.92447604343528,-559.6607681814589
3qi8,2195.0663395366423,2195.0663395366423,-397.5638559044938
3npl,-293.6264441744134,-293.6264441744134,-556.0191391051108
4due,-373.49458972688393,-373.49458972688393,-561.7528956605324
3kx5,-496.0144058471078,-496.0144058471078,-562.413730705147
3ekd,239.45747480074078,239.45747480074078,-414.94913588232134
1smi,276.9836287238602,276.9836287238602,-519.8028207171162
1jme,-27.337298918086354,-27.337298918086354,-530.2608372474638
4duc,-294.2331345684438,-294.2331345684438,-559.8920218974414
4dql,-299.9318904163028,-299.9318904163028,-438.7778315049433
2uwh,304.5255741364597,304.5255741364597,-522.0292872084066
2ij3,-708.4076652471787,-708.4076652471787,-585.9166683816155
4dtz,-625.4210821267853,-625.4210821267853,-577.8073458156437
4duf,-550.9594544219773,-550.9594544219773,-584.1451885630927
